review,label, , .1, .2, .3, .4, .5, .6
Harganya naik menjadi 40k krn liburan. Anak2 bisa foto bersama hewan yg ada disana. Spot fotonya juga bagus2. Tapi Harga jajanan nya mahal.,Negatif,, , , , , , 
Tempat wisata keluarga yang cocok juga untuk edukasi anak anak. Tersedia banyak spot foto yang instagramable. Htm 25rb/orang. Protokol kesehatan sangat diperhatikan. Tempat parkir luas,Positif,, , , , , , 
"Tempat ini bagus untuk berlibur bersama keluarga, terutama yang memiliki anak kecil.. Karena temoatbini megajarkan kita untuk mengenal alam secara lebih dekat, ada kelinci, ikan, luak sampai kuda.. Kalo berangkat ke sini saya sarankan lebih pagi, karena terlalu siang bisa jadi harus antri untuk parkir..",Positif,, , , , , , 
"Tempat ini lebih ke mini zoo ya sama spot foto. Lumayan anak saya bisa naik kuda, kasih makan burung, unta,rusa, dan domba. Setelah itu kami foto2. Ada kafe nya juga di dalam kalau misalkan gamau masuk, bisa tunggu di luar maupun di dalam. Sekian, semoga membantu, have fun gaes",Positif,, , , , , , 
"bagus, apik, luas daerah wisatanya, kmdian banyak binatang besar, sperti ular, biawak, kuda, space buat foto2, berada dibawah kaki gunung merapi, kaliurang",Positif, , , , , , , 
"Lokasi di Jogja utara, jalan kaliurang daerah Pakem.
wisata edukasi buat anak² karena ada mini zoo dan wisata selfie krn tempatnya instagramable 📸 …",Positif, , , , , , , 
"Tempatnya luas, tiketnya lumayan worth it, banyak tempat bagus untuk berfoto, ada binatang juga yang bisa kita liat, ada tempat jual makanan ringan dan minuman juga. Sayangnya klau kita bawa kamera mirrorless atau DSLR kena cas lumayan 50ribu. Recommended deh tempat ini bagus.",Netral, , , , , , , 
"Suka banget dengan tempat ini, kebetulan kemarin pas kedini keadaan cuaca mendung.",Netral, , , , , , , 
Kebun binatang mini dengan santorini yg memukau. Sesuai dengn harga tiket. Kandang kucingnya aja yg bau. Ada petugas yg standby kalau kita mau foto dengan hewan.,Negatif, , , , , , , 
"Suasana sejuk, banyak satwa yg bisa dilihat. Spot foto sangat menarik dan pemandangan juga indah. Tempat parkir motor dan mobil luas serta tidak jauh dari lokasi wisata. Kamar mandinya tolong diperhatikan lagi kebersihannya. …",Netral, , , , , , , 
"Bagusss bgt tempatnya banyak spot foto yg menarik
Bersih
Koleksi binatangnya lumayan banyak …",Positif, , , , , , , 
"Tempatnya adem pas buat anakanak kecil main, ada banyak binatang dan tempat2 foto yang kekinian ada santorini kw yg banyak dipakai buat foto sampe antri antri, tiket masuk 20rb",Positif, , , , , , , 
Tempaat menurut saya bagus.. buat anak dan keluarga.. bisa kasih makan langsung satwa disana juga cocok buat santai sekedaar ngopi bersama teman dekat atau patner bisnis. Lokasi juga mudah sekali dari jalan raya kaliurang  10 meter.. masuk gang dikit,Netral, , , , , , , 
Tempat wisata yg cocok untuk anak2. Pas kesana weekday tdk terlalu ramai sehingga bisa puas menikmati suasananya. Bisa lihat beberapa hewan secara langsung juga. Semoga bisa ditingkatkan lagi fasilitasnya yaa 🤗 …,Netral, , , , , , , 
"tempat rekomended untuk santau keluarga. hanya saja dikatakan Zoo, lokasi nya lumayan kecil untuk zoo. Bisa dibilang mini zoo. Jd ngga perlu waktu lama untk bermain disini kecuali mau santai2. Ada foto2 bagus seperti di santorini. ada sewaan baju untuk foto2.",Netral, , , , , , , 
"Tempat nya bagus, parkirnya luas, kalau pas ramai yg mau foto² harus bisa mengkondisikan",Positif, , , , , , , 
"Tempatnya cukup luas, bersih, harga tiket murah yang sudah termasuk untuk berbagai spot didalamnya, terdapat beberapa hewan dan tumbuhan serta berbagai spot foto yang salah satunya paling diminati adalah santorini.",Netral, , , , , , , 
